ID,CAS # ,SMILES ,Chemical Name,Abrrev. name (Unique concatenate),LogBMF,Scientific Name (Unique concatenate),Common Name (Unique concatenate),BMF (Arnot&Quinn),no. Records,Standard error
89,34123-59-6,CC(C)c1ccc(NC(=O)N(C)C)cc1,Isoproturon,--,-3.21,"Cyprinus carpio, Perca fluviatilis","Common carp, Perch","L, L",2,0.00
90,34883-39-1,Clc1ccc(Cl)c(-c2ccccc2)c1,"2,5-Dichlorobiphenyl",PCB 9,-0.64,"Carassius auratus, Poecilia reticulata","Goldfish, Guppy","L, L",2,0.05
91,34883-43-7,Clc1ccc(-c2ccccc2Cl)cc1,"2,4'-Dichlorobiphenyl",PCB 8,0.57,Oncorhynchus mykiss,Rainbow trout,"M, M",2,0.25
92,35822-46-9,Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,"1,2,3,4,6,7,8-H7CDD",--,-0.47,"Salmo gairdneri, Pimephales promelas","Rainbow trout, Fathead minnow","L, L",2,0.07
93,36734-19-7,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,Iprodione,--,-2.67,"Cyprinus carpio, Perca fluviatilis","Common carp, Perch","L, L",2,0.00
94,375-95-1,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorononanoic acid,PFNA,-0.64,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
95,37680-65-2,Clc1ccc(Cl)c(-c2ccccc2Cl)c1,"2,2',5-Trichlorobiphenyl",PCB 18,0.58,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
96,38380-01-7,Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,"2,2',4,4',5-Pentachlorobiphenyl",PCB 99,0.87,Gasterosteus aculeatus,Three-spined stickleback,M,1,0.00
97,38380-02-8,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1,"2,2',3,4,5'-Pentachlorobiphenyl",PCB 87,0.76,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.35
98,38380-05-1,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1Cl,"2,2',3,3',4,6'-Hexachlorobiphenyl",PCB 132,0.74,Oncorhynchus mykiss,Rainbow trout,"L, L, L",3,0.32
99,38444-73-4,Clc1ccccc1-c1c(Cl)cccc1Cl,"2,2',6-Trichlorobiphenyl",PCB 19,0.57,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
100,38444-78-9,Clc1ccccc1-c1cccc(Cl)c1Cl,"2,2',3-Trichlorobiphenyl",PCB 16,0.48,Oncorhynchus mykiss,Rainbow trout,"M, M",2,0.00
101,38444-85-8,Clc1ccc(-c2cccc(Cl)c2Cl)cc1,"2,3,4'-Trichlorobiphenyl",PCB 22,0.35,Oncorhynchus mykiss,Rainbow trout,"M, M",2,0.15
102,38444-86-9,Clc1ccc(-c2ccccc2Cl)cc1Cl,"2,3',4'-Trichlorobiphenyl",PCB 33,0.52,Oncorhynchus mykiss,Rainbow trout,"M, M",2,0.20
103,3891-98-3,CCC(C)CCCC(C)CCCC(C)C,"2,6,10-Trimethyl dodecane",--,0.00,Oncorhynchus mykiss,Rainbow trout,"M, H",2,0.28
