ID,CAS # ,SMILES ,Chemical Name,Abrrev. name (Unique concatenate),LogBMF,Scientific Name (Unique concatenate),Common Name (Unique concatenate),BMF (Arnot&Quinn),no. Records,Standard error
185,781-17-9,c1cc2c3c(c1)CCc1cccc(c1-3)CC2,"4,5,9,10-Tetrahydropyrene",--,-1.55,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
186,79277-27-3,COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1,Thifensulfuron-methyl,--,-4.30,"Cyprinus carpio, Perca fluviatilis","Common carp, Perch","L, L",2,0.00
187,81-03-8,Cc1ccc2c(c1)C(C)(C)CC2(C)C,"1,1,3,3,5-Pentamethylindan    (liquid)",--,-0.84,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
188,81-15-2,Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],Musk-xylene,--,-0.35,"Oncorhynchus mykiss, Cyprinus carpio","Rainbow trout, Common carp","M, M, L, L, H, H, H, H, H, H, H, H, H, H",14,0.08
189,81777-89-1,CC1(C)CON(Cc2ccccc2Cl)C1=O,Clomazone,--,-3.70,"Cyprinus carpio, Perca fluviatilis","Common carp, Perch","L, L",2,0.00
190,821-95-4,C=CCCCCCCCCC,1-undecene,--,-1.41,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
191,83164-33-4,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,Diflufenican,--,-2.99,"Cyprinus carpio, Perca fluviatilis","Common carp, Perch","L, L",2,0.00
192,832-69-9,Cc1cccc2c1ccc1ccccc12,1-Methylphenanthrene,--,-1.72,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
193,84-15-1,c1ccc(-c2ccccc2-c2ccccc2)cc1,o-Terphenyl,TP,-0.35,"Oncorhynchus mykiss, Cyprinus carpio","Rainbow trout, Common carp","M, M, M, L, L, L, H, H, H, H, H, H, H, H, H, H",16,0.05
194,84632-59-7,CC(C)(C)c1ccc(C2=C3C(=O)NC(c4ccc(C(C)(C)C)cc4)=C3C(=O)N2)cc1,"3,6-Bis-(4-tert-butyl-phenyl)-2,5-dihydro-pyrrolo[3,4-c]pyrrole-1,4-dione",Pigment orange 73,-1.58,Oncorhynchus mykiss,Rainbow trout,"L, L",2,0.01
195,85-01-8,c1ccc2c(c1)ccc1ccccc12,Phenanthrene,--,-1.12,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
196,85507-79-5,CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC,Diisoundecyl phthalate,--,-2.30,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
197,872-05-9,C=CCCCCCCCC,1-decene,--,-1.14,Oncorhynchus mykiss,Rainbow trout,"M, L",2,0.03
198,88671-89-0,CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,Myclobutanil,--,-2.10,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
199,91-17-8,C1CCC2CCCCC2C1,t-decalin,--,-0.07,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
200,91-20-3,c1ccc2ccccc2c1,Naphthalene,--,-2.30,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
201,91-57-6,Cc1ccc2ccccc2c1,2-Methylnaphthalene,--,-2.00,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
202,92-06-8,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,m-terphenyl,--,-1.35,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
203,92-51-3,C1CCC(C2CCCCC2)CC1,Bicyclohexyl,--,-0.77,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
204,93002-38-1,CC(C)(C)CC(C)(S)CC(C)(C)C,"2,2,4,6,6-pentamethylheptane-4-thiol",--,-2.00,Danio rerio,Zebrafish,M,1,0.00
205,933-12-0,CC1C=CCC(C)(C)C1,"3,5,5 Trimethyl cyclohexene",--,-1.14,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
206,93-46-9,c1ccc2cc(Nc3ccc(Nc4ccc5ccccc5c4)cc3)ccc2c1,"N,N'-Di-2-naphthyl-p-phenyleneDiamine",DNPD,-1.10,Cyprinus carpio,Common carp,H,1,0.00
207,94361-06-5,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,Cyproconazole,--,-1.96,Oncorhynchus mykiss,Rainbow trout,M,1,0.00
208,959-98-8,O=[S@]1OC[C@@H]2[C@H](CO1)[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,endosulfan -a isomer,--,-1.30,Salmo salar,Atlantic salmon,M,1,0.00
209,98-51-1,Cc1ccc(C(C)(C)C)cc1,1-tert butyl-4-methyl benzene,--,-1.02,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
210,N/A - 1-8,c1ccc(-c2ccccc2C2CCCCC2)cc1,Cyclohexylbiphenyl,--,-1.25,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
211,N/A - 2-2,C1CCC2C(C1)CCC1C3CCCCC3CCC21,perhydro-chrysene,--,-0.42,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
212,N/A-  -4,ClCC(Cl)CCC(Cl)C(Cl)CCC(Cl)CCl,"1,2,5,6,9,10-Hexachlorodecane",--,-0.04,Oncorhynchus mykiss,Rainbow trout,"L, L, L, L, L, L",6,0.16
213,N/A-  -7,CCCCCCCCc1ccc2ccc3cccc4ccc1c2c34,1-octylpyrene,--,-1.11,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
214,N/A- 1-0,CCCCCCC1CCc2ccccc2C1,2-hexyl Tetralin,--,-1.89,Oncorhynchus mykiss,Rainbow trout,H,1,0.00
